timestamp,open,high,low,close,volume
2026-04-02 12:02:18.262,2046.7518141710623,2058.0780703571922,2046.7518141710623,2058.0780703571922,20160566327.194042
2026-04-02 13:01:57.333,2058.0780703571922,2065.1998596132084,2058.0780703571922,2065.1998596132084,20430792951.19096
2026-04-02 14:02:53.588,2065.1998596132084,2068.267540097687,2065.1998596132084,2068.267540097687,19782059908.738018
2026-04-02 15:02:36.843,2068.267540097687,2068.267540097687,2062.257261674845,2062.257261674845,18688959086.340504
2026-04-02 16:03:03.896,2062.257261674845,2062.257261674845,2061.084999463242,2061.084999463242,18165154515.700043
2026-04-02 17:03:43.683,2061.084999463242,2061.084999463242,2056.8902960008427,2056.8902960008427,18107142808.132233
2026-04-02 18:02:40.933,2056.8902960008427,2056.8902960008427,2052.3014968598927,2052.3014968598927,17853528999.095024
2026-04-02 19:02:27.981,2052.3014968598927,2052.3014968598927,2049.654142170374,2049.654142170374,15884178517.73015
2026-04-02 20:03:56.752,2049.654142170374,2051.4562786599804,2049.654142170374,2051.4562786599804,15907864473.960415
2026-04-02 21:02:36.365,2051.4562786599804,2054.0755179404528,2051.4562786599804,2054.0755179404528,15733775969.587173
2026-04-02 22:02:32.102,2054.0755179404528,2054.5899083434715,2054.0755179404528,2054.5899083434715,15548993850.139677
2026-04-02 23:01:48.376,2054.5899083434715,2056.7872983636894,2054.5899083434715,2056.7872983636894,14472529799.21816
2026-04-03 00:03:06.059,2056.7872983636894,2063.283856957693,2056.7872983636894,2063.283856957693,14844876102.111408
2026-04-03 01:02:58.863,2063.283856957693,2065.5815589168933,2063.283856957693,2065.5815589168933,13845765399.419489
2026-04-03 02:02:18.130,2065.5815589168933,2065.5815589168933,2060.8186131240586,2060.8186131240586,13973827434.305384
2026-04-03 03:03:01.060,2060.8186131240586,2061.0565645459264,2060.8186131240586,2061.0565645459264,14481214788.749802
2026-04-03 04:03:03.489,2061.0565645459264,2061.0565645459264,2059.9174165918257,2059.9174165918257,13356577202.697906
2026-04-03 05:02:53.220,2059.9174165918257,2062.515877805712,2059.9174165918257,2062.515877805712,13184595537.162954
2026-04-03 06:02:24.341,2062.515877805712,2062.515877805712,2050.4286838652606,2050.4286838652606,14022333093.101429
2026-04-03 07:02:31.157,2050.4286838652606,2050.4286838652606,2048.410769333114,2048.410769333114,13242925922.112051
2026-04-03 08:00:44.953,2048.410769333114,2055.2694959118326,2048.410769333114,2055.2694959118326,11410758263.296902
2026-04-03 09:01:09.051,2055.2694959118326,2055.2694959118326,2051.4972548162177,2051.4972548162177,11796666155.584206
2026-04-03 10:02:39.297,2051.4972548162177,2054.8156229417027,2051.4972548162177,2054.8156229417027,11742049625.456512
2026-04-03 11:02:55.635,2054.8156229417027,2054.8156229417027,2050.0226865993136,2050.0226865993136,11785555080.594904
2026-04-03 12:03:16.843,2050.0226865993136,2050.0226865993136,2048.7101505162536,2048.7101505162536,10035099515.371313
2026-04-03 13:02:25.300,2048.7101505162536,2052.4146949086044,2048.7101505162536,2052.4146949086044,9384674272.352936
2026-04-03 14:03:55.567,2052.4146949086044,2052.816741356222,2052.4146949086044,2052.816741356222,10451369609.261686
2026-04-03 15:04:16.260,2052.816741356222,2058.3864427665653,2052.816741356222,2058.3864427665653,10114508411.33692
2026-04-03 16:04:14.228,2058.3864427665653,2058.3864427665653,2051.9598403699597,2051.9598403699597,10263380339.618855
2026-04-03 17:08:33.973,2051.9598403699597,2052.040627099922,2051.9598403699597,2052.040627099922,10051606550.674917
2026-04-03 18:04:30.076,2052.040627099922,2052.040627099922,2051.834102346245,2051.834102346245,9216800001.83506
2026-04-03 19:19:17.524,2051.834102346245,2051.834102346245,2049.4606330163047,2049.4606330163047,10350064624.00991
2026-04-03 20:56:21.385,2049.4606330163047,2050.175195825445,2049.4606330163047,2050.175195825445,8559172426.2370405
